cardNo,category,rarity,cardName,topEffectFresh,effectFresh,topEffectPro,effectPro
25,教務,SR,ここが出る！テスト対策,[長講]入4,【室長・講師】入塾+4。,[長講]入5,【室長・講師】入塾+5。
26,教務,SR,できるまで居残り！,"入5, 満足-1",入塾+5、満足-1。,"💤, 入6",[疲労💤]入塾+6。
27,教務,SR,補習大会,"[長講]<入10->入3, 満2","【室長・講師】
〈入塾10以下〉入塾+3、満足+2。","[長講]<入15->入4, 満2","【室長・講師】
〈入塾15以下〉入塾+4、満足+2。"
28,教務,SR,テスト予想問題的中！,"[長講]入2, 体1, 満3","【室長】
入塾+2、体験+1、満足+3。","[長]✊, 入2, 体1, 満1","【室長】[情熱✊]
入塾+2、体験+1、満足+1。"
29,教務,SR,設問の急所は？教材研究,"[長講]<入7+>入3, 満1","【室長・講師】
〈入塾7以上〉入塾+3、満足+1。","💡, <長講>入3",[発想💡]〈室長・講師〉さらに入塾+3。
30,教務,SR,最新入試情報リサーチ,,,"[長講]🤹, 入3, <入10+>満2","【室長・講師】[並行🤹]入塾+3。
〈入塾10以上〉さらに満足+2。"
31,応対,SR,教室清掃,"満2, <事>経2","満足+2。
〈事務〉さらに経理+2。","🤹, ✊, 満2",[並行🤹][情熱✊]満足+2。
32,応対,SR,スタンプ帳キャンペーン,"[長]満3, 体2, 入1, [!]経-1",【室長】満足+3、体験+2、入塾+1、経理-1。,"満5, 入3, [!]経-1",満足+5、入塾+3、経理-1。
33,応対,SR,私も載ったよ！成績UP掲示,<入8+>満6,〈入塾8以上〉満足+6。,"満5, <入10+>体2","満足+5。
〈入塾10以上〉さらに体験+2。"
34,応対,SR,笑顔伝わる教室通信,"満3, 入1",満足+3、入塾+1。,"[長]満5, 入2",【室長】満足+5、入塾+2。
35,応対,SR,季節のデコレーション,<体8+>満+5,〈体験8以上〉満足+5。,"✊, 🗑️, <事>満2",[情熱✊][整理🗑️]〈事務〉さらに満足+2。
36,庶務,SR,締切間近の書類リマインド,"経2, <事>満2",経理+2。〈事務〉さらに満足+2。,"経2, <事>🗑️, 満2","経理+2。
〈事務〉[整理🗑️]さらに満足+2。"
37,庶務,SR,教材発注,"経1, <事>経3",経理+1。〈事務〉さらに経理+3。,"経3, 入1, <事>経2","経理+3、入塾+1。
〈事務〉さらに経理+2。"
38,庶務,SR,未入金家庭へ電話,"[事]経5, <満6->[!]満-1","【事務】経理+5。
〈満足6以下〉満足-1。","[事]経6, <満10->[!]満-2","【事務】経理+6。
〈満足10以下〉満足-2。"
39,庶務,SR,機材故障は本部に相談,"経3, <満10->満2","経理+3。
〈満足10以下〉さらに満足+2。","経4, <満12->満3","経理+4。
〈満足12以下〉さらに満足+3。"
40,庶務,SR,ごほうび差し入れスイーツ,"[長]体2, 入1, 満1",【室長】体験+2、入塾+1、満足+1。,"[長]✊, ✊, 体1, 入1, 満1","【室長】[情熱✊][情熱✊]
体験+1、入塾+1、満足+1。"
41,庶務,SR,入塾手続きのご案内,"[長事]経3,<長>入2","【室長・事務】経理+3。
〈室長〉さらに入塾+2。","[長事]経2, 入2, <長>経3","【室長・事務】経理+2、入塾+2。
〈室長〉さらに経理+3。"
42,動員,SSR,努力の結晶 合格実績掲示,体6,体験+6。,"体8, [!]経-1, <入10+>満3","体験+8、経理-1。
〈入塾10以上〉さらに満足+3。"
43,動員,SSR,テレビCM放映,"[長]体4, 満3",【室長】体験+4、満足+3。,"[長]体8, 入2, 満5, [!]経-4",【室長】体験+8、入塾+2、満足+5、経理-4。
44,動員,SSR,今だけ！体験生特典,"[長]体7, 入3, [!]経-3",【室長】体験+7、入塾+3、経理-3。,"[長]体7, 入3, [!]経-2",【室長】体験+7、入塾+3、経理-2。
45,教務,SSR,学力確認＆向上 公開模試,"[長講]体6, [!]経-1, <満15+>入3","【室長・講師】体験+6、経理-1。
〈満足15以上〉さらに入塾+3。","[長講]<長>体8,[!]経-2, <講>入8,[!]経-1","【室長・講師】
〈室長〉体験+8、経理-2。
〈講師〉入塾+8、経理-1。"
46,教務,SSR,入塾後の未来へ 進路説明会,"[長]入3, 満3",【室長】入塾+3、満足+3。,"[長]💤, 体2, 入6, 満3",【室長】[疲労💤]体験+2、入塾+6、満足+3。
47,教務,SSR,プロジェクター授業,"[長講]入6, [!]満-1",【室長・講師】入塾+6、満足-1。,"[長講]入+5, 経-1, <入25->入+4","【室長・講師】入塾+5、経理-1。
〈入塾25以下〉さらに入塾+4。"
48,応対,SSR,赤字覚悟！？ 大抽選会,"体2, 満6, [!]経-1",体験+2、満足+6、経理-1。,"体2, 満6, [!]経-1",体験+3、満足+7、経理-1。
49,応対,SSR,卒業生からの手紙,"<満13+>体2, 入3, 経2",〈満足13以上〉体験+2、入塾+3、経理+2。,<満15+>🤹✊✊💡,"[並行🤹]
〈満足15以上〉[情熱✊][情熱✊][発想💡]"
50,庶務,SSR,事務リーダー1日派遣,[事]<経11->経=12,〈経理11以下〉経理を12にする。,🤹<経13->経=14,"[並行🤹]
〈経理13以下〉経理を14にする。"
51,応対,SSR,明るく広く！教室リフォーム,,,"<残2T+> 💤, 💤, 💡, 🗑️, 🗑️, 体3, 入3, 満7, [!]経-4",【室長】〈残り2ターン以上〉[疲労💤][疲労💤][発想💡][整理🗑️][整理🗑️]体験+3、入塾+3、満足+7、経理-4。
