受信日時,ゲーム開始日時,ゲーム完了日時,ビルドバージョン,難易度,体験,入塾,満足,経理,総合スコア,ランク,目標ポイント,退塾数,動員合計,入退差,最終デッキ,削除カード
2026/04/10 20:59:14,2026-04-10T11:51:14.000Z,2026-04-10T11:59:11.631Z,v20260410-1915,pro,56,39,19,14,11,A+,11,1,56,38,"学力確認＆向上 公開模試, できるまで居残り！, 進学相談フェア出展, チラシ折り, 振込用紙印刷",
2026/04/10 23:25:36,2026-04-10T14:16:06.851Z,2026-04-10T14:25:34.824Z,v20260410-1915,pro,44,39,20,10,6,B,6,5,44,34,"私も載ったよ！成績UP掲示, 振込用紙印刷, 機材故障は本部に相談, 機材故障は本部に相談, プロジェクター授業, 今だけ！体験生特典, 保護者説明会, 生徒面談の基本",
2026/04/11 0:24:39,2026-04-10T15:17:29.066Z,2026-04-10T15:24:35.944Z,v20260410-2320,pro,42,28,34,19,11,A+,11,0,42,28,"人気の秘密は？他塾研究, 振込用紙印刷, できるまで居残り！, 入塾後の未来へ 進路説明会, チラシ折り, 努力の結晶 合格実績掲示, 宿題チェック, 私も載ったよ！成績UP掲示",
2026/04/11 0:31:23,2026-04-10T15:25:24.654Z,2026-04-10T15:31:19.257Z,v20260410-2320,fresh,21,19,19,13,7,A,7,2,21,17,"経理精算の基本, 未入金家庭へ電話, 私も載ったよ！成績UP掲示, 生徒面談の基本, 補習大会, 日々の授業, 苦手発見！質問対応, 赤字覚悟！？ 大抽選会",
2026/04/11 1:29:23,2026-04-10T16:22:11.653Z,2026-04-10T16:29:21.440Z,v20260410-2320,pro,38,29,32,16,10,A+,10,0,38,29,"教室清掃, プロジェクター授業, 教室清掃, チラシ折り, テスト予想問題的中！, 保護者説明会, 努力の結晶 合格実績掲示, 友人紹介, 私も載ったよ！成績UP掲示, 休み時間トーク","質問対応の基本, 質問対応の基本, 問合対応の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 経理精算の基本, 生徒面談の基本, 振込用紙印刷"
2026/04/11 21:14:25,2026-04-11T00:23:48.267Z,2026-04-11T12:14:22.240Z,v20260411-0900,pro,34,29,31,15,10,A+,10,0,34,29,"人気の秘密は？他塾研究, 兄弟紹介, プロジェクター授業, ごほうび差し入れスイーツ, 友人紹介, スタンプ帳キャンペーン, できるまで居残り！, 友人紹介, 卒業生からの手紙, 校門前ビラ配り, 提出書類ファイリング",
2026/04/11 21:22:04,2026-04-11T12:14:35.972Z,2026-04-11T12:22:02.573Z,v20260411-0900,pro,46,27,25,14,10,A+,10,1,46,26,"努力の結晶 合格実績掲示, 教室清掃, 提出書類ファイリング, 入塾手続きのご案内, できるまで居残り！, 進学相談フェア出展, 友人紹介, 学力確認＆向上 公開模試, 設問の急所は？教材研究, 休み時間トーク","質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 振込用紙印刷"
2026/04/11 21:28:23,2026-04-11T12:22:11.249Z,2026-04-11T12:28:21.344Z,v20260411-0900,pro,35,34,15,19,10,A+,10,0,35,34,"学力確認＆向上 公開模試, 提出書類ファイリング, ごほうび差し入れスイーツ, 兄弟紹介, 入塾手続きのご案内, 元塾生に講習案内, 振込用紙印刷, 教室清掃","質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 生徒面談の基本, プロジェクター授業"
2026/04/11 21:34:18,2026-04-11T12:28:42.807Z,2026-04-11T12:34:15.216Z,v20260411-0900,pro,31,24,23,17,8,A,8,0,31,24,"機材故障は本部に相談, 元塾生に講習案内, 提出書類ファイリング, 卒業生からの手紙, 進学相談フェア出展, 兄弟紹介, 補習大会, 学力確認＆向上 公開模試, 締切間近の書類リマインド","質問対応の基本, 質問対応の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 生徒面談の基本, 問合対応の基本, 校門前ビラ配り, 経理精算の基本"
2026/04/11 21:40:53,2026-04-11T12:34:39.220Z,2026-04-11T12:40:50.162Z,v20260411-0900,pro,34,31,26,14,9,A,9,1,34,30,"保護者説明会, 努力の結晶 合格実績掲示, 保護者説明会, 振込用紙印刷, ごほうび差し入れスイーツ","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 経理精算の基本, 備品注文, 季節のデコレーション, 問合対応の基本, 保護者面談, プロジェクター授業"
2026/04/12 1:02:28,2026-04-11T15:50:41.490Z,2026-04-11T16:02:23.173Z,v20260411-0900,fresh,31,16,14,16,8.8,S,8,1,31,15,"私も載ったよ！成績UP掲示, 苦手発見！質問対応, 備品注文, 学力確認＆向上 公開模試, 経理精算の基本, 校門前ビラ配り, 締切間近の書類リマインド, 締切間近の書類リマインド","質問対応の基本, 経理精算の基本, 問合対応の基本, 生徒面談の基本, 問合対応の基本, 校門前ビラ配り, 質問対応の基本, プロジェクター授業, 生徒面談の基本"
2026/04/12 10:47:57,2026-04-12T01:41:10.978Z,2026-04-12T01:47:55.735Z,v20260412-0901,pro,36,36,13,20,8,A,8,2,36,34,"プロジェクター授業, 生徒面談の基本, 未入金家庭へ電話, 保護者説明会, 振込用紙印刷, 校門前ビラ配り, プロジェクター授業, できるまで居残り！","問合対応の基本, 問合対応の基本, 生徒面談の基本, 元塾生に講習案内, 質問対応の基本, 経理精算の基本, 質問対応の基本, 経理精算の基本, できるまで居残り！"
2026/04/12 11:10:44,2026-04-12T02:03:30.789Z,2026-04-12T02:10:41.897Z,v20260412-0901,fresh,30,28,14,16,9.8,S+,8,1,30,27,"ここが出る！テスト対策, 努力の結晶 合格実績掲示, 差し入れ経費精算, 教室清掃, 褒めて励ます授業, 学力確認＆向上 公開模試, ここが出る！テスト対策, 備品注文","経理精算の基本, 問合対応の基本, 経理精算の基本, 生徒面談の基本, 質問対応の基本, 生徒面談の基本, 問合対応の基本, 質問対応の基本, 元塾生に講習案内"
2026/04/12 11:16:54,2026-04-12T02:10:40.269Z,2026-04-12T02:16:52.609Z,v20260412-0901,pro,33,33,26,11,4,C,4,4,33,29,"経理精算の基本, 兄弟紹介, 入塾手続きのご案内, 苦手発見！質問対応, ごほうび差し入れスイーツ, チラシ折り, 学力確認＆向上 公開模試, 宿題チェック, 設問の急所は？教材研究, 卒業生からの手紙, 兄弟紹介","質問対応の基本, 質問対応の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 経理精算の基本, 生徒面談の基本, 校門前ビラ配り, ごほうび差し入れスイーツ"
2026/04/12 11:32:59,2026-04-12T02:27:56.986Z,2026-04-12T02:32:56.997Z,v20260412-0901,pro,27,27,20,16,9,A,9,0,27,27,"休み時間トーク, 元塾生に講習案内, 兄弟紹介, 苦手発見！質問対応, 兄弟紹介, 進学相談フェア出展, 入塾後の未来へ 進路説明会, 機材故障は本部に相談, 学力確認＆向上 公開模試, 設問の急所は？教材研究, 笑顔伝わる教室通信, 宿題チェック","質問対応の基本, 質問対応の基本, 経理精算の基本, 生徒面談の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 私も載ったよ！成績UP掲示"
2026/04/12 11:37:32,2026-04-12T02:33:00.400Z,2026-04-12T02:37:30.373Z,v20260412-0901,pro,35,18,31,25,8,A,8,0,35,18,"卒業生からの手紙, 設問の急所は？教材研究, 設問の急所は？教材研究, 苦手発見！質問対応, 締切間近の書類リマインド, 兄弟紹介, 校門前ビラ配り, 今だけ！体験生特典, 日々の出迎え, できるまで居残り！, 未入金家庭へ電話","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 経理精算の基本, 保護者面談"
2026/04/12 11:45:22,2026-04-12T02:38:04.653Z,2026-04-12T02:45:19.489Z,v20260412-0901,pro,29,22,22,14,7,B+,7,1,29,21,"卒業生からの手紙, 兄弟紹介, 学力確認＆向上 公開模試, ごほうび差し入れスイーツ, 締切間近の書類リマインド, 休み時間トーク, 季節のデコレーション, テスト予想問題的中！, ごほうび差し入れスイーツ, チラシ折り, 季節のデコレーション, 教室清掃","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 校門前ビラ配り, 経理精算の基本, 友人紹介, 設問の急所は？教材研究, 兄弟紹介"
2026/04/12 11:49:36,2026-04-12T02:45:23.142Z,2026-04-12T02:49:35.013Z,v20260412-0901,pro,37,24,25,27,9,A,9,0,37,24,"日々の出迎え, 努力の結晶 合格実績掲示, 季節のデコレーション, 入塾後の未来へ 進路説明会, 提出書類ファイリング, テスト予想問題的中！, 未入金家庭へ電話","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 経理精算の基本, 問合対応の基本, 元塾生に講習案内, 補習大会"
2026/04/12 12:08:27,2026-04-12T02:56:54.761Z,2026-04-12T03:08:24.099Z,v20260412-0901,pro,31,31,16,12,5,B,5,3,31,28,"今だけ！体験生特典, プロジェクター授業, チラシ折り, 季節のデコレーション, 友人紹介, 兄弟紹介, 休み時間トーク, 入塾手続きのご案内","生徒面談の基本, 経理精算の基本, 問合対応の基本, 質問対応の基本, 生徒面談の基本, 質問対応の基本, 問合対応の基本, 日々の出迎え, 経理精算の基本, ごほうび差し入れスイーツ"
2026/04/12 12:09:40,2026-04-12T03:00:22.061Z,2026-04-12T03:09:39.165Z,v20260412-0901,pro,35,25,33,19,9,A,9,0,35,25,"チラシ折り, 機材故障は本部に相談, 兄弟紹介, 締切間近の書類リマインド, 進学相談フェア出展, テスト予想問題的中！, チラシ折り, 苦手発見！質問対応, 卒業生からの手紙, 入塾手続きのご案内, 卒業生からの手紙","問合対応の基本, 問合対応の基本, 質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 経理精算の基本, 備品注文, 補習大会, 兄弟紹介, 季節のデコレーション, 友人紹介"
2026/04/12 12:17:46,2026-04-12T03:11:27.587Z,2026-04-12T03:17:42.722Z,v20260412-0901,pro,34,19,36,17,9,A,9,0,34,19,"休み時間トーク, 苦手発見！質問対応, チラシ折り, 友人紹介, 私も載ったよ！成績UP掲示, スタンプ帳キャンペーン, 人気の秘密は？他塾研究, 保護者説明会, 卒業生からの手紙, 笑顔伝わる教室通信, 入塾手続きのご案内","問合対応の基本, 問合対応の基本, 質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 経理精算の基本, 校門前ビラ配り, 事務リーダー1日派遣, 季節のデコレーション"
2026/04/12 12:22:05,2026-04-12T03:17:56.909Z,2026-04-12T03:22:02.741Z,v20260412-0901,pro,54,9,20,19,6,B,6,0,54,9,"友人紹介, 学力確認＆向上 公開模試, 進学相談フェア出展, 校門前ビラ配り, 進学相談フェア出展, チラシ折り, 元塾生に講習案内, 機材故障は本部に相談","質問対応の基本, 質問対応の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 経理精算の基本, 事務リーダー1日派遣"
2026/04/12 12:23:54,2026-04-12T03:18:55.748Z,2026-04-12T03:23:52.459Z,v20260412-0901,pro,35,28,25,14,9,A,9,1,35,27,"宿題チェック, スタンプ帳キャンペーン, 機材故障は本部に相談, 校門前ビラ配り, プロジェクター授業, 友人紹介, 進学相談フェア出展, 校門前ビラ配り","質問対応の基本, 経理精算の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 経理精算の基本, 問合対応の基本, プロジェクター授業"
2026/04/12 13:50:17,2026-04-12T04:39:53.478Z,2026-04-12T04:50:15.633Z,v20260412-0901,fresh,25,19,22,21,8.9,S,8,0,25,19,"教室清掃, 心を掴む1日見学, 学力確認＆向上 公開模試, 休み時間トーク, 元塾生に講習案内, 入塾後の未来へ 進路説明会, 兄弟紹介, 質問対応の基本","質問対応の基本, 生徒面談の基本, 問合対応の基本, 生徒面談の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 未入金家庭へ電話, ポスティング"
2026/04/12 14:16:54,2026-04-12T04:43:06.527Z,2026-04-12T05:16:52.744Z,v20260412-0901,pro,37,32,23,14,8,A,8,1,37,31,"兄弟紹介, 兄弟紹介, 振込用紙印刷, 機材故障は本部に相談, 入塾後の未来へ 進路説明会, 学力確認＆向上 公開模試, 苦手発見！質問対応, 校門前ビラ配り","質問対応の基本, 生徒面談の基本, 経理精算の基本, 質問対応の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 褒めて励ます授業, 経理精算の基本"
2026/04/12 14:58:11,2026-04-12T05:51:32.046Z,2026-04-12T05:58:06.711Z,v20260412-0901,fresh,19,16,19,11,4,C,4,4,19,12,"補習大会, 振込用紙印刷, プロジェクター授業, できるまで居残り！, 事務リーダー1日派遣, スタンプ帳キャンペーン, 兄弟紹介, ポスティング","質問対応の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 経理精算の基本, 問合対応の基本, 質問対応の基本, 生徒面談の基本, 褒めて励ます授業"
2026/04/12 14:59:56,2026-04-12T05:55:46.880Z,2026-04-12T05:59:54.333Z,v20260412-0901,fresh,24,15,13,12,3,D,3,5,24,10,"事務リーダー1日派遣, 補習大会, 質問対応の基本, 生徒面談の基本, 努力の結晶 合格実績掲示, 質問対応の基本, 兄弟紹介, 生徒面談の基本","元塾生に講習案内, 経理精算の基本, ポスティング, 教室清掃, 保護者面談, 問合対応の基本, 問合対応の基本, 苦手発見！質問対応, 経理精算の基本"
2026/04/12 15:01:17,2026-04-12T05:51:54.649Z,2026-04-12T06:01:13.122Z,v20260412-0901,fresh,18,17,19,12,7,A,7,3,18,14,"日々の授業, スタンプ帳キャンペーン, 事務リーダー1日派遣, 兄弟紹介, 入塾後の未来へ 進路説明会, 補習大会, ここが出る！テスト対策, 元塾生に講習案内","質問対応の基本, 問合対応の基本, 生徒面談の基本, 経理精算の基本, 質問対応の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 日々の出迎え"
2026/04/12 15:02:18,2026-04-12T05:55:47.866Z,2026-04-12T06:02:14.800Z,v20260412-0901,fresh,23,21,20,17,9.1,S+,8,0,23,21,"校門前ビラ配り, 入塾後の未来へ 進路説明会, ここが出る！テスト対策, 友人紹介, 差し入れ経費精算, 入塾後の未来へ 進路説明会, 友人紹介, 元塾生に講習案内","問合対応の基本, 質問対応の基本, 問合対応の基本, 経理精算の基本, 経理精算の基本, 生徒面談の基本, 質問対応の基本, 生徒面談の基本, 振込用紙印刷"
2026/04/12 15:05:34,2026-04-12T06:00:18.127Z,2026-04-12T06:05:32.601Z,v20260412-0901,fresh,26,25,13,3,3,D,3,14,26,11,"入塾後の未来へ 進路説明会, 入塾後の未来へ 進路説明会, 心を掴む1日見学, 質問対応の基本, ポスティング, 日々の授業, 苦手発見！質問対応, 笑顔伝わるお便り配布","経理精算の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 質問対応の基本, 生徒面談の基本, 校門前ビラ配り, できるまで居残り！"
2026/04/12 15:21:46,2026-04-12T06:02:09.738Z,2026-04-12T06:21:42.059Z,v20260412-0901,pro,30,23,35,11,3,C,3,4,30,19,"赤字覚悟！？ 大抽選会, 事務リーダー1日派遣, 日々の授業, 褒めて励ます授業, 友人紹介, スタンプ帳キャンペーン, スタンプ帳キャンペーン, 苦手発見！質問対応, 保護者面談","質問対応の基本, 経理精算の基本, 経理精算の基本, 質問対応の基本, 問合対応の基本, 生徒面談の基本, 問合対応の基本, 生徒面談の基本, 人気の秘密は？他塾研究"
2026/04/12 15:28:32,2026-04-12T06:24:20.541Z,2026-04-12T06:28:30.454Z,v20260412-0901,fresh,27,19,15,5,2,D,2,10,27,9,"事務リーダー1日派遣, 日々の授業, 校門前ビラ配り, ここが出る！テスト対策, スタンプ帳キャンペーン, 今だけ！体験生特典, 心を掴む1日見学, 教室清掃","経理精算の基本, 経理精算の基本, 生徒面談の基本, 生徒面談の基本, 質問対応の基本, 振込用紙印刷, 質問対応の基本, 問合対応の基本, 問合対応の基本"
2026/04/12 16:06:20,2026-04-12T06:52:29.234Z,2026-04-12T07:06:16.339Z,v20260412-0901,pro,43,29,15,30,10,A+,10,0,43,29,"友人紹介, 教室清掃, チラシ折り, 学力確認＆向上 公開模試, 努力の結晶 合格実績掲示, 進学相談フェア出展, 振込用紙印刷, 未入金家庭へ電話","質問対応の基本, 経理精算の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 質問対応の基本, チラシ折り"
2026/04/12 16:16:56,2026-04-12T07:08:39.076Z,2026-04-12T07:16:55.426Z,v20260412-0901,pro,43,35,15,14,10,A+,10,1,43,34,"今だけ！体験生特典, 入塾手続きのご案内, 褒めて励ます授業, 元塾生に講習案内, 保護者説明会, 保護者説明会, 学力確認＆向上 公開模試, 振込用紙印刷","質問対応の基本, 問合対応の基本, 質問対応の基本, 生徒面談の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 経理精算の基本, 苦手発見！質問対応"
2026/04/12 16:31:42,2026-04-12T07:18:59.884Z,2026-04-12T07:31:40.473Z,v20260412-0901,pro,44,38,24,13,9,A,9,2,44,36,"苦手発見！質問対応, できるまで居残り！, 提出書類ファイリング, テスト予想問題的中！, 今だけ！体験生特典, 学力確認＆向上 公開模試, 季節のデコレーション","問合対応の基本, 生徒面談の基本, 問合対応の基本, 質問対応の基本, 経理精算の基本, 生徒面談の基本, 経理精算の基本, 質問対応の基本, 校門前ビラ配り, チラシ折り"
2026/04/12 16:42:50,2026-04-12T07:35:20.474Z,2026-04-12T07:42:47.002Z,v20260412-0901,pro,23,22,25,17,8,A,8,0,23,22,"苦手発見！質問対応, 入塾後の未来へ 進路説明会, 褒めて励ます授業, テスト予想問題的中！, 保護者説明会, 日々の授業, 友人紹介, 生徒面談の基本","質問対応の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 元塾生に講習案内, 質問対応の基本, 事務リーダー1日派遣, 経理精算の基本, 経理精算の基本"
2026/04/12 16:48:11,2026-04-12T07:38:56.883Z,2026-04-12T07:48:08.119Z,v20260412-0901,pro,42,29,16,19,10,A+,10,0,42,29,"教室清掃, チラシ折り, 今だけ！体験生特典, 振込用紙印刷, 苦手発見！質問対応, 進学相談フェア出展, 振込用紙印刷, 入塾手続きのご案内","経理精算の基本, 質問対応の基本, 問合対応の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 質問対応の基本, 生徒面談の基本, 努力の結晶 合格実績掲示"
2026/04/12 17:08:21,2026-04-12T07:59:01.000Z,2026-04-12T08:08:18.054Z,v20260412-0901,pro,30,30,25,20,10,A+,10,0,30,30,"入塾後の未来へ 進路説明会, スタンプ帳キャンペーン, 宿題チェック, 友人紹介, 機材故障は本部に相談, スタンプ帳キャンペーン, 振込用紙印刷, 生徒面談の基本","問合対応の基本, 生徒面談の基本, 質問対応の基本, 問合対応の基本, 質問対応の基本, 経理精算の基本, 学力確認＆向上 公開模試, 経理精算の基本, 校門前ビラ配り"
2026/04/12 17:11:56,2026-04-12T07:55:18.755Z,2026-04-12T08:11:50.734Z,v20260412-0901,fresh,35,29,16,12,7,A,7,3,35,26,"ここが出る！テスト対策, 経理精算の基本, 質問対応の基本, 保護者説明会, 日々の授業, 学力確認＆向上 公開模試, 兄弟紹介, 質問対応の基本","経理精算の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 生徒面談の基本, 保護者面談, 事務リーダー1日派遣, 校門前ビラ配り, 苦手発見！質問対応"
2026/04/12 20:40:59,2026-04-12T11:32:08.431Z,2026-04-12T11:40:57.254Z,v20260412-0901,pro,43,34,19,12,6,B,6,3,43,31,"苦手発見！質問対応, 宿題チェック, 兄弟紹介, 入塾手続きのご案内, 元塾生に講習案内, 入塾後の未来へ 進路説明会, 努力の結晶 合格実績掲示, できるまで居残り！","問合対応の基本, 経理精算の基本, 質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 休み時間トーク"
2026/04/12 20:58:41,2026-04-12T11:49:34.453Z,2026-04-12T11:58:39.682Z,v20260412-0901,pro,43,30,21,16,10,A+,10,0,43,30,"宿題チェック, 今だけ！体験生特典, 教室清掃, 褒めて励ます授業, 兄弟紹介, 入塾後の未来へ 進路説明会, 苦手発見！質問対応, 経理精算の基本","問合対応の基本, 質問対応の基本, 生徒面談の基本, 経理精算の基本, 生徒面談の基本, 質問対応の基本, 問合対応の基本, ごほうび差し入れスイーツ, チラシ折り"
2026/04/12 21:08:28,2026-04-12T12:00:21.335Z,2026-04-12T12:08:26.473Z,v20260412-0901,pro,51,46,11,18,7,B+,7,4,51,42,"テスト予想問題的中！, 今だけ！体験生特典, テスト予想問題的中！, 宿題チェック, 締切間近の書類リマインド","生徒面談の基本, 生徒面談の基本, 質問対応の基本, 経理精算の基本, 質問対応の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, チラシ折り, 今だけ！体験生特典, 友人紹介, 振込用紙印刷"
2026/04/12 22:25:04,2026-04-12T13:18:23.307Z,2026-04-12T13:25:03.500Z,v20260412-0901,pro,32,23,38,22,10,A+,10,0,32,23,"赤字覚悟！？ 大抽選会, できるまで居残り！, 学力確認＆向上 公開模試, 機材故障は本部に相談, 校門前ビラ配り, 振込用紙印刷, 宿題チェック, 教室清掃","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 経理精算の基本, 笑顔伝わる教室通信"
