難易度,体験,入塾,満足,経理,総合スコア,ランク,退塾数,動員合計,入退差,最終デッキ,削除カード
fresh,35,29,16,12,7,A,3,35,26,"ここが出る！テスト対策, 経理精算の基本, 質問対応の基本, 保護者説明会, 日々の授業, 学力確認＆向上 公開模試, 兄弟紹介, 質問対応の基本","経理精算の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 生徒面談の基本, 保護者面談, 事務リーダー1日派遣, 校門前ビラ配り, 苦手発見！質問対応"
pro,43,34,19,12,6,B,3,43,31,"苦手発見！質問対応, 宿題チェック, 兄弟紹介, 入塾手続きのご案内, 元塾生に講習案内, 入塾後の未来へ 進路説明会, 努力の結晶 合格実績掲示, できるまで居残り！","問合対応の基本, 経理精算の基本, 質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 休み時間トーク"
pro,43,30,21,16,10,A+,0,43,30,"宿題チェック, 今だけ！体験生特典, 教室清掃, 褒めて励ます授業, 兄弟紹介, 入塾後の未来へ 進路説明会, 苦手発見！質問対応, 経理精算の基本","問合対応の基本, 質問対応の基本, 生徒面談の基本, 経理精算の基本, 生徒面談の基本, 質問対応の基本, 問合対応の基本, ごほうび差し入れスイーツ, チラシ折り"
pro,51,46,11,18,7,B+,4,51,42,"テスト予想問題的中！, 今だけ！体験生特典, テスト予想問題的中！, 宿題チェック, 締切間近の書類リマインド","生徒面談の基本, 生徒面談の基本, 質問対応の基本, 経理精算の基本, 質問対応の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, チラシ折り, 今だけ！体験生特典, 友人紹介, 振込用紙印刷"
pro,32,23,38,22,10,A+,0,32,23,"赤字覚悟！？ 大抽選会, できるまで居残り！, 学力確認＆向上 公開模試, 機材故障は本部に相談, 校門前ビラ配り, 振込用紙印刷, 宿題チェック, 教室清掃","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 経理精算の基本, 笑顔伝わる教室通信"
pro,33,33,40,13,9,A,2,33,31,"振込用紙印刷, 保護者面談, 学力確認＆向上 公開模試, 締切間近の書類リマインド, 赤字覚悟！？ 大抽選会, 休み時間トーク, テスト予想問題的中！, できるまで居残り！","経理精算の基本, 生徒面談の基本, 経理精算の基本, 質問対応の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 未入金家庭へ電話, 質問対応の基本"
pro,52,17,16,23,8,A,0,52,17,"ごほうび差し入れスイーツ, できるまで居残り！, 補習大会, 入塾手続きのご案内, 経理精算の基本, 学力確認＆向上 公開模試, チラシ折り, 休み時間トーク, 機材故障は本部に相談","経理精算の基本, 質問対応の基本, 生徒面談の基本, 質問対応の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, チラシ折り, 努力の結晶 合格実績掲示"
fresh,18,18,25,14,8.6,S,1,18,17,"振込用紙印刷, 質問対応の基本, 経理精算の基本, 差し入れ経費精算, 入塾後の未来へ 進路説明会, 兄弟紹介, 教室清掃, 備品注文","生徒面談の基本, 経理精算の基本, 生徒面談の基本, 保護者面談, 質問対応の基本, 問合対応の基本, 今だけ！体験生特典, 問合対応の基本, スタンプ帳キャンペーン"
fresh,31,22,20,16,9.3,S+,0,31,22,"質問対応の基本, 兄弟紹介, 元塾生に講習案内, 学力確認＆向上 公開模試, 保護者説明会, ここが出る！テスト対策, 質問対応の基本, 締切間近の書類リマインド","経理精算の基本, 経理精算の基本, 生徒面談の基本, 生徒面談の基本, 休み時間トーク, 問合対応の基本, 事務リーダー1日派遣, 問合対応の基本, 校門前ビラ配り"
fresh,43,32,11,6,4,C,13,43,19,"機材故障は本部に相談, 笑顔伝わるお便り配布, 日々の出迎え, 機材故障は本部に相談, 質問対応の基本, 元塾生に講習案内, 兄弟紹介, 質問対応の基本","経理精算の基本, 経理精算の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, ポスティング, 今だけ！体験生特典, プロジェクター授業"
fresh,24,24,21,17,9.3,S+,0,24,24,"締切間近の書類リマインド, 友人紹介, 問合対応の基本, 学力確認＆向上 公開模試, 質問対応の基本, 笑顔伝わるお便り配布, 振込用紙印刷, 備品注文","経理精算の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 経理精算の基本, 事務リーダー1日派遣, 質問対応の基本, 休み時間トーク, スタンプ帳キャンペーン"
fresh,34,15,22,17,8.8,S,0,34,15,"ポスティング, 笑顔伝わるお便り配布, 今だけ！体験生特典, 質問対応の基本, 未入金家庭へ電話, 心を掴む1日見学, 笑顔伝わるお便り配布, ポスティング","経理精算の基本, 経理精算の基本, 生徒面談の基本, 生徒面談の基本, 質問対応の基本, 問合対応の基本, 事務リーダー1日派遣, 日々の出迎え, 問合対応の基本"
fresh,23,18,26,16,8.8,S,0,23,18,"テレビCM放映, 差し入れ経費精算, 元塾生に講習案内, 兄弟紹介, 教室清掃, 日々の授業, 校門前ビラ配り, 差し入れ経費精算","問合対応の基本, 質問対応の基本, 経理精算の基本, 問合対応の基本, 経理精算の基本, 生徒面談の基本, 質問対応の基本, 赤字覚悟！？ 大抽選会, 生徒面談の基本"
fresh,29,29,20,15,9.9,S+,0,29,29,"ここが出る！テスト対策, 学力確認＆向上 公開模試, スタンプ帳キャンペーン, 備品注文, 入塾後の未来へ 進路説明会, 元塾生に講習案内, 苦手発見！質問対応, できるまで居残り！","経理精算の基本, 生徒面談の基本, 質問対応の基本, 経理精算の基本, 問合対応の基本, 質問対応の基本, 提出書類チェック, 生徒面談の基本, 問合対応の基本"
fresh,23,23,16,16,9.2,S+,0,23,23,"兄弟紹介, 今だけ！体験生特典, 備品注文, 提出書類チェック, 日々の授業, 兄弟紹介, 苦手発見！質問対応, 質問対応の基本","経理精算の基本, 質問対応の基本, 問合対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 事務リーダー1日派遣, 経理精算の基本, スタンプ帳キャンペーン"
pro,28,23,17,20,8,A,0,28,23,"友人紹介, 保護者説明会, 人気の秘密は？他塾研究, 保護者説明会, 季節のデコレーション, 学力確認＆向上 公開模試, 締切間近の書類リマインド, 苦手発見！質問対応, 設問の急所は？教材研究, 友人紹介, 卒業生からの手紙, 人気の秘密は？他塾研究, 休み時間トーク, 兄弟紹介","質問対応の基本, 質問対応の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 経理精算の基本, 校門前ビラ配り, 未入金家庭へ電話, 褒めて励ます授業"
pro,35,27,28,21,10,A+,0,35,27,"季節のデコレーション, 入塾手続きのご案内, 日々の出迎え, 学力確認＆向上 公開模試, 卒業生からの手紙, 未入金家庭へ電話","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 経理精算の基本, 問合対応の基本, 経理精算の基本, チラシ折り, 笑顔伝わる教室通信, 元塾生に講習案内, 締切間近の書類リマインド, 苦手発見！質問対応"
pro,27,27,28,26,10,A+,0,27,27,"学力確認＆向上 公開模試, 学力確認＆向上 公開模試, 機材故障は本部に相談, 宿題チェック, 締切間近の書類リマインド, 締切間近の書類リマインド","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 経理精算の基本, 備品注文, 問合対応の基本, 問合対応の基本, 校門前ビラ配り, 教室清掃"
fresh,31,24,24,14,9.4,S+,1,31,23,"褒めて励ます授業, 差し入れ経費精算, 赤字覚悟！？ 大抽選会, ここが出る！テスト対策, 元塾生に講習案内, 学力確認＆向上 公開模試, 苦手発見！質問対応, 締切間近の書類リマインド","問合対応の基本, 質問対応の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 経理精算の基本, 質問対応の基本, ポスティング, 生徒面談の基本"
pro,38,14,29,25,6,B,0,38,14,"学力確認＆向上 公開模試, チラシ折り, 機材故障は本部に相談, 日々の出迎え, 締切間近の書類リマインド, 教室清掃","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 経理精算の基本, 事務リーダー1日派遣, 保護者説明会, 校門前ビラ配り"
fresh,32,30,22,18,10,S+,0,32,30,"褒めて励ます授業, 笑顔伝わるお便り配布, ここが出る！テスト対策, 学力確認＆向上 公開模試, 元塾生に講習案内, 入塾後の未来へ 進路説明会, ポスティング, 笑顔伝わるお便り配布","質問対応の基本, 生徒面談の基本, 経理精算の基本, 質問対応の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 差し入れ経費精算"
pro,31,31,13,16,7,B+,2,31,29,"チラシ折り, 卒業生からの手紙, 今だけ！体験生特典, ごほうび差し入れスイーツ, 入塾手続きのご案内, 宿題チェック, 補習大会, 休み時間トーク, できるまで居残り！","生徒面談の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 笑顔伝わる教室通信, 季節のデコレーション"
pro,33,24,37,21,10,A+,0,33,24,"日々の出迎え, 校門前ビラ配り, 設問の急所は？教材研究, 校門前ビラ配り, 笑顔伝わる教室通信, 入塾後の未来へ 進路説明会, 学力確認＆向上 公開模試, 未入金家庭へ電話","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 経理精算の基本, 保護者説明会, 問合対応の基本, 経理精算の基本"
pro,50,26,26,14,10,A+,1,50,25,"進学相談フェア出展, 今だけ！体験生特典, 進学相談フェア出展, 締切間近の書類リマインド","質問対応の基本, 経理精算の基本, 生徒面談の基本, 質問対応の基本, 問合対応の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 校門前ビラ配り, 宿題チェック, 宿題チェック, 入塾後の未来へ 進路説明会, 季節のデコレーション"
pro,43,35,33,12,8,A,3,43,32,"進学相談フェア出展, チラシ折り, 学力確認＆向上 公開模試, 教室清掃","質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 生徒面談の基本, 問合対応の基本, 元塾生に講習案内, 褒めて励ます授業, 事務リーダー1日派遣, 兄弟紹介, 季節のデコレーション"
pro,43,41,26,13,10,A+,2,43,39,"今だけ！体験生特典, 学力確認＆向上 公開模試, 宿題チェック, 笑顔伝わる教室通信, 締切間近の書類リマインド","質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 備品注文, 保護者面談, 生徒面談の基本, 締切間近の書類リマインド, 友人紹介"
pro,18,14,27,33,4,C,0,18,14,"教室清掃, テスト予想問題的中！, 笑顔伝わる教室通信, ごほうび差し入れスイーツ, 季節のデコレーション, 卒業生からの手紙, 卒業生からの手紙, 教室清掃, 休み時間トーク, 締切間近の書類リマインド, 休み時間トーク","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 振込用紙印刷, ごほうび差し入れスイーツ"
pro,36,31,31,19,10,A+,0,36,31,"休み時間トーク, 学力確認＆向上 公開模試, 提出書類ファイリング, 笑顔伝わる教室通信, 季節のデコレーション, 兄弟紹介, チラシ折り, 苦手発見！質問対応, 卒業生からの手紙, 締切間近の書類リマインド","質問対応の基本, 質問対応の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 生徒面談の基本, 問合対応の基本, 経理精算の基本, 季節のデコレーション"
pro,40,39,31,13,10,A+,2,40,37,"スタンプ帳キャンペーン, 教室清掃, 宿題チェック, スタンプ帳キャンペーン, 今だけ！体験生特典, 日々の出迎え, 学力確認＆向上 公開模試, 提出書類ファイリング","質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 生徒面談の基本, 問合対応の基本, 生徒面談の基本, 教室清掃"
pro,45,17,30,19,8,A,0,45,17,"スタンプ帳キャンペーン, 保護者説明会, 休み時間トーク, チラシ折り, 進学相談フェア出展, 宿題チェック, 努力の結晶 合格実績掲示, 未入金家庭へ電話","質問対応の基本, 質問対応の基本, 経理精算の基本, 経理精算の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 事務リーダー1日派遣"
pro,40,38,28,16,12,S,0,40,38,"兄弟紹介, 提出書類ファイリング, チラシ折り, 保護者説明会, 入塾後の未来へ 進路説明会, 学力確認＆向上 公開模試, 締切間近の書類リマインド","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 経理精算の基本, 問合対応の基本, 経理精算の基本, 進学相談フェア出展, 日々の出迎え"
pro,50,30,19,16,11,A+,0,50,30,"私も載ったよ！成績UP掲示, チラシ折り, 経理精算の基本, 学力確認＆向上 公開模試, 入塾手続きのご案内, 今だけ！体験生特典, チラシ折り, 未入金家庭へ電話","質問対応の基本, 生徒面談の基本, テスト予想問題的中！, 質問対応の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 生徒面談の基本, 日々の出迎え"
pro,35,30,18,36,9,A,0,35,30,"教室清掃, 教室清掃, 学力確認＆向上 公開模試, 季節のデコレーション, 元塾生に講習案内, 提出書類ファイリング, 学力確認＆向上 公開模試, 入塾手続きのご案内","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 問合対応の基本, 経理精算の基本, 保護者面談, 問合対応の基本, 経理精算の基本"
pro,45,41,17,19,12,S,0,45,41,"振込用紙印刷, チラシ折り, 機材故障は本部に相談, 学力確認＆向上 公開模試, チラシ折り, 学力確認＆向上 公開模試, 機材故障は本部に相談","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 季節のデコレーション, 兄弟紹介"
pro,38,31,24,21,9,A,0,38,31,"機材故障は本部に相談, 友人紹介, 季節のデコレーション, できるまで居残り！, スタンプ帳キャンペーン, 今だけ！体験生特典, 宿題チェック, 休み時間トーク, 未入金家庭へ電話","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 今だけ！体験生特典, 補習大会, 休み時間トーク"
pro,45,36,28,16,12,S,0,45,36,"入塾手続きのご案内, 学力確認＆向上 公開模試, 機材故障は本部に相談","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 休み時間トーク, 季節のデコレーション, 校門前ビラ配り, 校門前ビラ配り, 笑顔伝わる教室通信, 学力確認＆向上 公開模試, 締切間近の書類リマインド"
pro,34,21,36,15,10,A+,0,34,21,"補習大会, 苦手発見！質問対応, 休み時間トーク, チラシ折り, できるまで居残り！, 生徒面談の基本, 未入金家庭へ電話, テスト予想問題的中！, 入塾後の未来へ 進路説明会, 兄弟紹介, 校門前ビラ配り","質問対応の基本, 質問対応の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 未入金家庭へ電話, 卒業生からの手紙"
pro,43,28,30,16,11,A+,0,43,28,"学力確認＆向上 公開模試, 未入金家庭へ電話, 私も載ったよ！成績UP掲示, 機材故障は本部に相談, 締切間近の書類リマインド","生徒面談の基本, 生徒面談の基本, 経理精算の基本, 経理精算の基本, 質問対応の基本, 日々の出迎え, 問合対応の基本, 問合対応の基本, 質問対応の基本, 今だけ！体験生特典, チラシ折り, チラシ折り, 設問の急所は？教材研究"
pro,39,23,31,21,9,A,0,39,23,"今だけ！体験生特典, テスト予想問題的中！, テスト予想問題的中！, 提出書類ファイリング, 補習大会, 休み時間トーク, できるまで居残り！, 事務リーダー1日派遣, 進学相談フェア出展, 保護者面談, 教室清掃","質問対応の基本, 質問対応の基本, 生徒面談の基本, 生徒面談の基本, 経理精算の基本, 問合対応の基本, 問合対応の基本, 経理精算の基本, 苦手発見！質問対応, 締切間近の書類リマインド"
pro,48,39,16,12,7,B+,3,48,36,"補習大会, 締切間近の書類リマインド, 学力確認＆向上 公開模試, 機材故障は本部に相談, 学力確認＆向上 公開模試, 提出書類ファイリング, 兄弟紹介, 経理精算の基本","質問対応の基本, 質問対応の基本, 経理精算の基本, 生徒面談の基本, 問合対応の基本, 問合対応の基本, 校門前ビラ配り, 生徒面談の基本, 日々の授業"
